co2_ch4_n2o_scope_1_3,carbon_intensity,board_diversity,corruption_cases,governance_compliance_score,total_energy_consumption,renewable_energy_share,turnover_rate,injury_frequency_rate,green_financing
94.77,50.13,53.61,6.0,27.4,15.29,77.36,83.43,61.64,14.23
68.55,17.48,14.22,42.0,87.12,99.68,24.14,15.14,88.79,5.65
81.75,81.38,80.47,0.0,65.36,41.13,78.07,33.34,18.33,60.32
6.37,96.25,75.38,46.0,16.35,33.1,43.35,26.84,59.4,38.22
28.58,97.59,7.2,28.0,98.47,77.54,81.92,89.03,31.67,63.81
62.87,37.31,83.97,46.0,92.09,0.94,59.08,15.52,71.92,78.66
43.31,93.11,28.97,42.0,21.51,84.3,8.27,7.0,41.78,52.08
71.18,81.4,10.31,25.0,78.14,41.15,1.16,79.53,98.05,17.08
35.05,99.95,78.49,47.0,42.58,5.32,76.86,23.18,35.59,59.9
40.88,42.37,77.67,36.0,51.15,30.8,40.55,71.79,34.37,91.31
12.93,86.63,98.73,24.0,29.26,52.66,40.64,79.87,16.34,23.77
32.32,36.49,87.76,13.0,35.63,44.69,62.62,50.74,91.76,14.28
24.16,80.1,9.16,29.0,81.23,64.43,47.61,35.05,98.19,76.83
75.28,26.53,51.12,10.0,7.63,77.12,45.22,25.21,25.64,80.89
83.93,0.51,8.97,48.0,49.26,36.24,16.02,25.43,59.33,92.46
80.73,20.4,66.54,15.0,89.87,79.26,10.67,85.64,96.16,10.52
56.45,16.69,79.37,9.0,54.07,45.53,17.08,80.9,28.31,57.5
95.02,27.95,57.69,39.0,92.55,71.21,78.05,96.02,6.44,78.34
15.46,34.89,8.63,5.0,9.67,37.6,64.36,60.86,35.33,90.77
33.31,42.46,71.97,26.0,3.88,45.74,54.05,74.94,18.73,65.78
28.13,36.72,51.98,12.0,44.02,38.24,90.02,3.8,66.23,73.8
50.26,56.51,77.28,7.0,54.24,0.36,29.02,26.39,49.68,41.77
67.15,84.75,0.09,19.0,36.3,40.96,8.89,66.36,41.93,12.5
10.25,36.02,20.61,15.0,99.95,13.14,89.79,37.26,78.9,99.72
94.03,90.8,52.62,37.0,90.23,88.58,88.07,49.77,58.47,63.14
24.54,66.47,52.23,20.0,85.78,81.08,27.96,38.65,64.89,97.25
1.85,44.07,24.13,20.0,72.29,23.15,68.15,74.47,16.34,45.16
21.56,79.35,59.04,44.0,2.4,38.8,92.41,30.87,76.47,19.11
65.28,58.41,31.69,5.0,4.97,16.48,19.82,81.01,88.54,70.4
37.56,53.22,97.89,3.0,22.4,25.73,87.79,50.68,67.06,16.43
90.29,62.58,3.51,14.0,31.9,65.7,78.06,12.43,90.0,95.47
31.7,80.22,99.44,6.0,77.94,13.46,65.24,32.52,61.0,83.91
72.93,76.42,70.65,16.0,73.24,42.07,8.65,44.49,20.76,51.4
23.46,76.07,47.08,25.0,34.12,28.25,95.16,23.78,15.06,75.1
55.84,55.12,29.11,16.0,78.7,36.75,83.71,0.02,50.47,59.17
62.44,25.37,91.31,48.0,47.93,72.11,45.25,27.55,80.52,9.89
97.8,33.52,35.72,35.0,20.1,68.45,81.47,26.88,6.5,18.07
6.04,49.07,29.7,45.0,75.83,96.91,59.81,31.82,99.46,11.03
16.16,31.76,70.99,22.0,13.98,85.72,54.87,56.63,68.75,43.19
42.06,27.75,70.99,3.0,59.6,82.75,74.07,10.48,38.35,88.97
89.74,6.74,77.99,31.0,63.74,47.75,56.96,8.59,69.5,64.23
97.53,3.41,14.29,12.0,22.09,72.31,23.57,31.4,10.34,16.99
46.29,9.62,61.25,49.0,54.16,80.14,9.37,39.14,94.11,37.53
38.88,96.91,16.06,49.0,18.41,18.3,63.22,48.43,77.49,68.62
94.89,43.44,96.78,5.0,54.41,22.99,93.83,1.1,50.65,65.85
16.1,83.65,68.71,27.0,41.09,97.11,89.4,61.69,89.77,53.67
86.21,71.47,32.52,47.0,36.06,47.77,33.44,77.86,67.57,60.75
64.36,58.33,84.04,0.0,39.84,28.44,92.96,71.95,88.19,38.06
66.14,59.93,20.73,4.0,13.44,70.89,15.96,57.76,55.57,44.37
46.27,20.85,21.87,27.0,11.17,57.47,19.19,87.39,99.42,70.44
68.47,68.77,92.6,12.0,41.33,83.48,22.9,58.05,40.58,41.74
57.01,28.12,3.45,28.0,53.18,44.17,19.89,41.43,93.7,60.29
39.36,74.74,57.65,10.0,14.78,9.42,29.89,61.25,79.56,64.98
81.96,27.91,29.26,48.0,32.17,67.63,14.3,95.85,81.49,57.74
10.91,24.44,36.87,31.0,40.43,36.54,86.73,10.04,17.85,14.13
62.82,24.06,6.33,1.0,24.29,85.27,29.71,3.31,37.15,33.11
29.75,12.45,52.89,8.0,35.6,41.48,53.68,17.56,7.72,52.81
58.86,34.2,46.68,20.0,79.43,29.36,33.45,41.84,16.93,1.46
12.58,25.9,34.5,7.0,54.13,53.25,49.73,52.21,8.54,0.04
20.42,38.1,5.62,32.0,47.42,22.14,45.18,76.39,65.36,73.05
32.71,86.73,19.4,11.0,54.35,31.95,52.19,68.93,8.38,64.64
8.22,48.85,87.17,2.0,38.25,3.44,6.53,15.95,70.73,19.89
61.82,7.92,79.71,17.0,45.96,63.09,71.24,46.1,43.18,36.57
23.77,22.8,22.5,2.0,63.89,4.58,87.12,94.86,92.36,13.94
88.44,22.79,23.86,4.0,69.54,95.42,91.95,84.33,27.85,16.53
17.67,57.02,27.83,12.0,1.83,62.41,14.93,61.48,98.31,26.23
20.62,31.04,17.61,20.0,5.28,96.49,24.53,41.83,58.89,85.64
63.04,94.86,80.68,0.0,75.62,63.44,8.35,33.99,48.6,58.56
31.14,8.08,41.81,32.0,5.06,10.81,27.93,71.55,60.8,25.21
3.91,12.9,51.34,14.0,62.61,39.58,94.72,13.46,22.55,18.95
85.23,6.38,54.54,20.0,66.92,21.92,39.18,44.59,8.92,72.39
84.16,17.07,35.17,39.0,32.94,49.67,22.8,17.65,91.65,2.58
1.69,85.48,72.03,12.0,32.03,73.39,8.22,41.41,40.83,39.65
57.42,14.14,64.88,9.0,92.47,21.21,72.27,17.32,32.52,64.04
1.37,13.4,70.56,40.0,76.62,34.88,89.94,53.68,97.01,50.81
21.04,18.27,54.86,0.0,63.32,27.96,36.18,87.2,75.39,2.17
44.72,85.42,13.06,15.0,97.81,77.23,35.16,40.41,17.29,88.64
66.72,72.93,73.32,40.0,53.3,55.82,92.96,23.33,50.12,23.68
23.74,10.85,98.18,40.0,64.31,27.27,34.73,34.89,46.17,54.04
34.07,81.24,75.23,11.0,24.3,0.81,23.52,99.67,8.35,91.93
73.18,37.39,88.76,49.0,26.56,41.17,38.97,9.44,85.57,78.93
54.44,92.07,52.28,10.0,17.77,77.31,50.98,18.24,24.28,83.13
76.7,79.73,24.37,32.0,29.73,79.11,20.57,20.78,22.97,36.61
72.88,81.57,97.83,15.0,68.18,48.48,49.67,55.51,51.69,80.68
49.07,47.92,55.18,31.0,67.18,71.49,94.3,67.84,34.31,97.23
30.49,97.91,89.72,13.0,24.68,30.45,71.45,67.76,0.82,93.26
12.72,25.58,14.17,9.0,6.88,60.37,12.9,33.0,54.13,0.22
92.6,83.8,6.33,47.0,72.13,33.61,74.48,5.27,58.59,50.25
3.78,89.49,40.97,11.0,5.4,98.44,80.3,67.57,20.55,73.64
65.69,54.63,43.86,15.0,84.65,60.8,15.87,60.21,17.42,94.93
37.49,63.43,13.46,3.0,7.57,8.82,92.5,74.51,53.74,14.66
2.43,12.31,92.15,40.0,58.66,98.39,88.06,84.76,77.1,73.77
87.3,42.21,92.8,5.0,73.03,2.57,47.94,47.46,28.24,27.89
99.5,37.33,46.03,10.0,44.35,60.31,49.42,17.24,84.78,54.67
92.0,76.89,21.61,17.0,81.57,91.66,16.08,80.62,94.87,60.2
50.3,33.82,91.41,42.0,92.68,26.05,62.0,10.24,82.04,97.93
27.15,4.01,47.95,13.0,49.58,19.71,83.0,81.16,94.23,99.03
70.44,28.23,33.55,38.0,98.51,24.5,69.4,23.48,85.38,44.96
64.1,89.63,99.12,47.0,44.14,99.52,50.22,22.94,78.36,88.0
57.45,6.5,73.64,35.0,97.49,81.26,40.79,86.71,29.22,72.82
72.11,80.04,31.1,33.0,98.6,23.17,33.59,55.45,79.66,32.81
35.74,37.05,1.52,20.0,25.72,40.58,27.9,17.25,89.61,30.61
34.47,55.46,49.51,4.0,44.62,37.1,6.75,75.87,98.91,38.36
28.05,86.93,5.34,28.0,9.3,55.34,9.23,76.1,53.12,21.91
16.48,5.32,58.56,45.0,38.94,55.4,27.82,85.37,96.36,75.26
32.02,68.45,26.91,31.0,52.96,29.73,31.31,81.34,36.68,99.08
40.61,8.76,26.18,15.0,50.61,32.28,39.48,67.47,98.99,17.99
71.54,49.81,28.59,32.0,26.84,16.21,86.6,34.97,73.24,52.79
80.88,30.57,87.29,23.0,9.73,46.04,73.49,12.83,74.1,9.84
24.33,0.88,83.73,10.0,40.24,69.55,10.76,67.88,81.86,40.39
0.62,8.06,73.78,16.0,3.98,97.01,66.97,86.29,38.1,30.92
35.38,46.19,65.5,33.0,90.26,95.66,14.28,68.42,5.51,67.63
20.78,89.79,68.47,46.0,20.65,41.09,83.26,3.81,93.44,48.45
35.64,73.93,7.91,12.0,38.63,35.61,69.01,50.0,61.35,22.61
98.43,0.65,26.05,42.0,14.93,70.41,44.58,74.86,72.3,46.93
47.78,58.31,5.25,15.0,77.93,3.04,66.86,40.43,57.38,22.94
38.16,42.56,24.58,7.0,67.04,50.49,37.24,17.54,68.85,44.45
50.43,69.3,64.69,37.0,82.51,20.34,26.48,26.64,70.82,64.39
99.58,54.9,12.97,26.0,6.26,29.69,65.92,27.77,60.28,38.18
99.71,49.12,51.84,0.0,46.7,90.27,62.42,17.22,58.14,57.67
43.97,27.77,65.86,19.0,33.84,22.07,52.88,35.25,89.27,49.01
41.62,42.68,5.08,32.0,47.1,14.76,67.57,72.68,27.45,23.13
61.48,55.23,49.65,25.0,23.95,26.82,33.28,92.81,66.64,0.11
74.08,98.49,1.07,19.0,70.15,43.37,82.06,81.25,44.13,64.34
9.23,74.62,21.25,49.0,12.01,50.3,43.98,28.07,29.54,88.9
91.76,28.89,77.35,40.0,76.06,31.76,77.71,8.22,5.96,68.16
52.99,75.69,33.15,23.0,53.5,57.93,33.86,68.13,38.72,63.08
15.78,39.8,25.4,47.0,45.89,77.24,13.82,71.74,68.89,63.4
69.86,49.19,23.61,11.0,83.13,90.2,67.76,83.33,97.07,77.66
93.77,39.77,80.28,3.0,5.05,89.61,45.64,79.23,42.45,69.19
18.66,10.72,85.83,47.0,50.86,77.49,83.58,4.04,59.44,80.54
57.43,1.71,2.02,40.0,81.56,90.64,69.08,41.46,10.1,30.69
77.02,9.59,40.65,6.0,17.95,80.47,5.5,99.98,59.33,69.07
44.3,20.85,13.89,43.0,38.61,11.04,13.27,29.28,30.18,29.79
95.69,59.27,0.92,37.0,83.41,35.1,79.39,45.11,7.8,38.59
6.01,80.79,34.62,4.0,84.95,65.2,25.03,85.35,75.58,43.85
12.1,13.08,84.93,11.0,93.0,25.48,8.85,43.46,95.8,20.19
96.53,49.38,69.0,8.0,10.0,37.34,90.58,7.49,50.74,5.9
1.56,58.45,68.83,33.0,53.03,2.47,62.1,20.52,95.96,63.85
53.61,19.29,36.41,15.0,92.41,86.83,98.75,7.38,22.0,66.43
33.02,25.93,61.05,22.0,67.76,38.22,34.32,25.25,79.59,53.34
89.67,0.38,25.65,36.0,62.22,20.03,39.42,81.06,54.05,62.01
8.07,15.92,9.46,28.0,92.61,74.11,63.6,79.81,97.76,78.5
47.54,38.79,93.59,1.0,14.7,87.47,57.87,11.31,39.08,78.65
64.67,38.04,8.05,1.0,57.42,88.8,68.54,76.31,22.83,40.87
63.8,12.61,11.48,17.0,29.94,57.72,71.24,92.9,3.32,35.14
38.69,86.62,9.5,7.0,26.19,37.32,82.88,92.93,31.92,78.45
82.79,7.49,15.79,20.0,24.99,10.19,65.64,69.8,42.42,48.49
93.92,33.79,9.45,2.0,87.65,68.02,3.03,10.53,84.94,4.38
74.83,10.64,64.13,10.0,49.84,97.35,45.55,31.49,66.92,8.61
33.07,59.18,34.71,26.0,71.51,73.35,76.2,46.76,10.69,45.69
36.07,54.91,79.27,32.0,2.5,98.55,58.39,66.37,68.62,92.16
39.29,7.56,26.39,34.0,67.22,61.03,23.69,87.81,28.85,4.49
18.86,78.61,28.4,5.0,22.9,62.15,82.59,3.53,47.76,46.27
98.53,84.91,95.39,29.0,60.21,1.56,94.33,16.65,72.89,29.23
13.26,77.01,37.64,37.0,45.25,77.69,87.86,90.14,41.4,31.97
77.37,62.83,44.06,46.0,2.24,12.46,36.09,4.84,52.29,48.16
42.53,11.62,31.27,49.0,15.95,81.33,60.44,59.96,67.52,45.33
66.03,58.98,10.39,49.0,92.98,95.17,17.19,80.78,64.04,70.47
31.26,26.38,96.17,24.0,2.04,16.23,9.61,83.89,92.81,74.9
8.92,29.36,61.78,0.0,57.2,22.49,64.45,47.63,78.94,83.05
88.28,32.53,47.98,5.0,39.09,8.68,15.1,90.34,68.93,55.89
81.04,69.18,25.92,26.0,24.13,24.19,92.62,93.5,79.7,78.71
16.91,62.82,38.8,38.0,41.54,32.5,47.31,26.62,21.36,13.2
19.89,61.14,72.6,11.0,96.03,66.88,85.16,53.56,20.91,44.21
93.12,66.12,63.11,19.0,63.62,91.25,24.45,72.33,25.66,35.89
32.48,8.45,54.43,8.0,27.01,35.36,70.32,77.88,66.64,25.69
45.47,53.94,47.79,28.0,15.47,65.21,81.42,92.54,68.44,82.13
53.77,92.32,12.61,10.0,4.1,92.66,71.21,93.58,52.41,83.21
77.79,93.1,44.29,40.0,38.58,6.58,93.29,14.68,17.79,52.58
38.86,79.93,64.93,3.0,63.21,78.54,85.31,28.22,83.59,10.44
80.24,78.97,92.62,22.0,19.72,96.46,4.97,89.12,43.46,21.96
20.89,80.11,40.38,24.0,31.97,35.05,34.77,4.27,68.58,27.06
0.65,2.5,63.22,25.0,81.48,42.94,53.26,20.43,6.24,41.72
7.6,84.98,22.72,31.0,95.78,72.58,27.87,28.18,13.09,45.85
36.93,94.49,11.61,39.0,93.3,50.07,24.63,19.85,54.13,84.11
75.47,0.22,6.45,30.0,88.45,48.19,77.73,56.14,65.2,34.69
39.49,15.73,63.38,14.0,41.39,89.7,85.32,58.09,22.03,64.24
20.9,52.62,8.84,33.0,34.59,86.03,60.48,43.27,80.44,97.04
13.51,74.49,81.79,44.0,41.97,57.97,5.5,91.26,88.88,50.27
88.12,24.09,91.61,32.0,88.28,78.92,67.7,54.31,49.49,2.98
72.32,8.32,55.84,25.0,68.58,31.45,52.96,90.39,0.32,63.63
18.11,60.85,7.01,42.0,31.85,61.17,19.6,94.33,63.22,77.04
21.93,75.12,54.12,1.0,89.59,86.71,63.22,83.65,77.62,5.4
47.44,49.08,56.88,21.0,36.33,84.76,58.4,59.39,48.61,93.51
10.58,53.48,59.92,10.0,7.66,18.89,21.78,70.6,71.91,42.71
19.52,35.49,23.17,20.0,29.5,19.0,45.97,86.63,8.38,52.64
55.03,30.74,23.2,46.0,16.54,93.84,50.91,26.65,35.03,49.74
95.25,41.05,61.49,24.0,66.23,55.44,56.13,58.47,66.03,27.88
5.82,98.11,74.65,41.0,96.99,97.08,10.68,0.83,59.07,51.56
86.59,52.89,48.42,0.0,54.95,67.98,1.58,16.23,93.19,30.09
39.42,97.73,15.18,27.0,94.69,53.26,65.63,88.2,88.75,63.21
74.04,67.04,27.74,2.0,86.01,77.98,40.66,41.28,92.0,43.72
72.43,35.29,41.65,41.0,75.48,89.02,78.02,30.06,85.87,60.55
68.71,76.81,24.05,14.0,90.76,98.56,46.1,69.97,17.45,93.27
15.48,97.48,60.58,47.0,18.53,8.07,20.86,35.81,10.37,52.97
87.64,95.0,55.78,16.0,16.68,68.21,5.73,93.87,14.33,10.88
52.0,45.67,96.57,17.0,49.51,82.4,32.85,65.25,74.25,23.8
73.77,56.21,24.42,0.0,38.59,53.84,12.82,55.7,16.83,39.16
52.55,27.03,63.23,10.0,84.04,12.17,53.95,90.56,68.55,72.83
4.31,65.48,62.6,41.0,85.71,14.67,64.35,55.72,68.4,36.66
45.55,76.63,7.36,25.0,75.78,56.78,44.32,27.18,78.51,18.1
87.49,82.4,82.51,34.0,2.1,17.39,95.82,19.99,20.02,18.12
66.99,80.39,34.39,9.0,34.19,45.93,55.23,14.52,88.14,95.01
35.31,67.18,58.1,11.0,23.42,74.68,18.17,45.34,65.86,96.63
58.39,7.04,93.9,45.0,26.18,56.38,95.27,63.79,75.7,31.79
63.0,22.37,74.97,38.0,13.96,36.01,30.58,11.92,84.91,77.36
61.08,34.25,29.28,39.0,52.27,37.41,56.81,86.34,14.59,69.9
94.38,66.8,13.91,37.0,97.11,26.82,99.85,38.07,35.65,66.01
15.75,17.21,47.96,31.0,46.28,74.63,18.63,23.0,24.14,98.42
65.68,28.69,16.1,36.0,98.88,33.1,16.5,18.67,5.75,11.9
81.82,5.47,94.65,23.0,91.77,3.99,11.27,68.03,78.61,64.37
46.96,27.44,27.06,8.0,42.14,62.0,40.18,19.69,16.45,17.87
61.37,45.99,58.14,4.0,43.16,23.14,29.97,72.91,62.34,68.14
33.33,23.85,17.81,4.0,37.38,43.35,28.65,8.06,32.0,33.0
46.24,45.36,10.73,28.0,29.31,57.95,95.42,61.0,6.85,32.06
44.02,66.78,76.96,35.0,3.32,30.6,2.04,46.93,89.66,33.89
49.83,9.42,58.14,25.0,48.35,45.97,88.02,52.66,11.09,85.03
92.46,12.65,21.33,17.0,40.06,4.49,7.15,21.85,39.06,12.39
35.77,68.81,49.88,48.0,4.03,58.46,22.29,48.2,76.57,42.61
89.41,85.99,23.06,20.0,8.71,34.27,31.78,85.22,13.21,44.17
32.59,94.5,49.38,44.0,96.84,58.31,28.77,33.98,81.45,98.27
38.38,39.5,36.29,17.0,63.68,1.13,41.42,85.88,89.95,88.91
36.01,99.16,87.75,21.0,43.66,35.37,58.26,19.45,84.47,87.67
55.99,47.46,94.38,3.0,69.98,90.32,55.72,47.8,7.05,11.51
96.25,55.88,95.73,5.0,75.62,1.86,63.86,37.15,3.1,65.25
78.78,21.31,26.64,47.0,55.41,3.1,80.93,30.22,49.39,61.81
25.39,38.67,34.15,10.0,83.32,52.35,84.01,9.02,36.78,56.2
28.49,87.34,83.29,49.0,44.4,20.29,50.66,65.11,1.7,72.99
58.26,48.41,47.51,2.0,71.83,16.08,11.29,83.7,58.0,43.38
73.43,9.17,23.68,2.0,19.66,79.28,69.55,97.08,84.64,33.61
1.25,76.73,83.62,42.0,57.44,48.01,38.5,7.3,84.19,55.48
12.74,93.99,2.31,9.0,41.0,41.6,92.99,14.35,85.13,15.11
78.48,10.15,78.43,4.0,47.92,33.09,12.74,39.83,77.92,68.48
75.6,20.3,15.37,11.0,28.28,67.85,62.49,23.67,65.38,16.41
57.09,79.27,24.22,23.0,48.84,95.4,35.88,3.2,88.29,48.87
9.0,63.36,58.15,9.0,89.83,99.61,57.45,5.0,44.35,51.75
83.89,94.27,54.26,25.0,97.68,92.26,62.48,39.56,31.64,33.54
0.57,25.21,75.83,31.0,9.94,74.87,67.79,55.84,62.28,77.87
97.59,28.52,23.21,31.0,33.26,70.2,31.7,22.95,34.4,51.77
65.83,32.22,31.44,25.0,13.75,13.37,90.9,81.56,38.66,14.89
31.9,38.89,32.8,46.0,96.5,82.69,26.67,62.02,47.36,77.85
77.45,62.52,14.77,13.0,92.95,38.47,37.09,42.25,66.67,38.88
25.58,69.52,31.58,7.0,12.93,99.11,24.42,89.13,30.55,22.99
51.38,13.51,35.66,34.0,55.63,50.07,96.36,0.38,92.95,67.21
27.19,43.01,74.27,47.0,6.12,53.11,41.6,34.87,81.7,70.38
0.17,51.06,32.43,18.0,39.57,16.45,19.57,39.38,10.42,97.49
6.95,18.51,64.73,27.0,82.78,14.57,52.53,96.3,1.0,74.21
72.52,63.67,92.29,38.0,51.84,79.83,64.17,70.59,88.89,22.97
36.79,80.21,44.94,25.0,84.45,41.64,30.22,46.8,50.05,65.13
2.03,52.24,3.09,5.0,83.59,12.47,74.34,61.46,57.63,43.08
34.48,47.29,26.97,11.0,16.72,36.26,67.5,78.37,86.07,13.22
36.1,44.97,29.84,46.0,40.04,87.37,50.41,95.44,61.36,75.84
6.02,90.87,3.58,25.0,41.65,58.15,99.05,99.1,98.16,58.64
76.66,83.97,43.11,29.0,30.19,15.83,73.25,14.68,16.86,80.04
52.0,1.32,77.52,9.0,97.32,50.49,46.93,65.71,6.29,21.18
99.24,15.1,89.11,41.0,12.54,74.53,59.73,38.0,75.81,54.36
83.66,88.15,34.57,19.0,58.39,40.51,97.04,69.41,62.22,25.6
50.4,36.14,1.68,17.0,22.95,90.84,49.55,54.68,44.61,90.69
80.43,27.83,16.07,43.0,5.44,85.98,18.13,8.19,9.6,67.17
41.48,73.06,64.67,42.0,43.89,77.2,90.25,5.97,1.51,56.04
58.13,99.73,47.55,32.0,41.31,93.13,90.61,78.62,80.3,93.72
55.42,63.34,93.51,12.0,80.11,41.53,70.21,19.17,10.92,19.36
11.59,92.45,41.92,15.0,43.91,56.99,97.35,2.79,92.04,39.27
8.72,48.4,37.26,22.0,66.77,34.6,85.43,79.76,59.9,94.23
32.74,31.14,51.85,38.0,5.9,6.86,68.93,53.6,1.64,55.06
90.53,24.88,61.87,25.0,68.91,81.77,70.94,58.31,26.12,36.0
56.86,45.69,75.33,7.0,68.26,36.74,39.61,40.93,36.66,65.24
77.07,88.14,90.19,2.0,18.99,98.8,12.0,28.71,62.48,55.03
4.46,51.33,63.9,46.0,71.54,83.48,33.61,84.56,56.12,44.74
75.36,34.19,0.69,25.0,6.03,1.26,2.87,24.69,87.27,16.34
8.44,99.63,53.32,14.0,81.11,18.3,25.33,57.35,34.52,33.14
0.01,38.02,59.9,7.0,3.84,52.97,84.66,64.17,4.16,31.91
13.56,68.92,20.11,34.0,55.39,37.92,11.54,81.65,5.07,38.95
20.77,18.78,0.43,11.0,88.65,10.03,33.7,14.97,49.0,37.77
57.44,17.38,40.65,32.0,44.08,38.2,20.14,80.43,66.04,36.77
